alpha,x,density_quad,density_linear
1.0,0.0,2.2377495523793872e-05,2.3855174317070223e-05
1.0,0.005025125628140704,6.593772550997171e-05,6.875062246628823e-05
1.0,0.010050251256281407,0.0001771317915452849,0.0001818719616948854
1.0,0.01507537688442211,0.0004353042458220411,0.0004427147108549474
1.0,0.020100502512562814,0.0009824442020537458,0.000994165860243216
1.0,0.02512562814070352,0.0020451575637077525,0.0020653083006612655
1.0,0.03015075376884422,0.003945860449671301,0.003981864873909456
1.0,0.035175879396984924,0.007093354471784001,0.007150987470420229
1.0,0.04020100502512563,0.011949472466123937,0.012013676155226582
1.0,0.04522613065326633,0.01897934792609095,0.018973023597890947
1.0,0.05025125628140704,0.028601129917493893,0.028322772880814223
1.0,0.05527638190954774,0.041149619214651476,0.040206927107145636
1.0,0.06030150753768844,0.05685704929413291,0.05462930422931052
1.0,0.06532663316582915,0.07584183132156014,0.07150532140488984
1.0,0.07035175879396985,0.09809418607058064,0.09072308905424403
1.0,0.07537688442211056,0.12346001610844058,0.11217694545045624
1.0,0.08040201005025126,0.15164117826816634,0.13576057650564344
1.0,0.08542713567839195,0.18223373111756236,0.16134139126826363
1.0,0.09045226130653267,0.21480577466849274,0.18875223737468008
1.0,0.09547738693467336,0.2489837571668876,0.21781640573554156
1.0,0.10050251256281408,0.2844973516147049,0.24838593382347268
1.0,0.10552763819095477,0.32114922514158195,0.2803548640542073
1.0,0.11055276381909548,0.35872250567540215,0.3136229962683851
1.0,0.11557788944723618,0.3968864347415032,0.3480194588896363
1.0,0.12060301507537688,0.4351760974318235,0.3832288546471422
1.0,0.12562814070351758,0.47308786327260294,0.4187792971522962
1.0,0.1306532663316583,0.5102591851907093,0.4541331213790681
1.0,0.135678391959799,0.5466314131237321,0.488857707617216
1.0,0.1407035175879397,0.5824820986664757,0.5227780033186012
1.0,0.1457286432160804,0.6182833664183399,0.5559976264422626
1.0,0.15075376884422112,0.6544531436490448,0.5887633445161151
1.0,0.15577889447236182,0.6911312343655323,0.6212759249400894
1.0,0.16080402010050251,0.7280835997610959,0.6535956165265908
1.0,0.1658291457286432,0.7647531286081543,0.6857010885162292
1.0,0.1708542713567839,0.8004117452708903,0.7176193542749094
1.0,0.17587939698492464,0.8343589027876817,0.749482403598615
1.0,0.18090452261306533,0.8661228099466086,0.7814352911665184
1.0,0.18592964824120603,0.8956188061703708,0.8134584070584924
1.0,0.19095477386934673,0.9232142181028681,0.8452626694473381
1.0,0.19597989949748745,0.9496660564166864,0.8763882152226329
1.0,0.20100502512562815,0.9759332320630064,0.906482870427895
1.0,0.20603015075376885,1.0028988046139773,0.9355589552109373
1.0,0.21105527638190955,1.0310707344054681,0.9639906144435408
1.0,0.21608040201005024,1.0603676064311827,0.9922033494435181
1.0,0.22110552763819097,1.0901072306131074,1.0202920013429535
1.0,0.22613065326633167,1.1192514132512195,1.0479071394105655
1.0,0.23115577889447236,1.1468275964089274,1.0745315099939614
1.0,0.23618090452261306,1.1723324080954078,1.0999127013199308
1.0,0.24120603015075376,1.195909947843576,1.1242733841932329
1.0,0.24623115577889448,1.2182041208302112,1.1481294384930738
1.0,0.25125628140703515,1.2399569983859118,1.1718939313344452
1.0,0.2562814070351759,1.2615782991822022,1.1955969608077859
1.0,0.2613065326633166,1.2829480631102579,1.2189031685902203
1.0,0.2663316582914573,1.3035783277763426,1.2413521591160586
1.0,0.271356783919598,1.3230133525258279,1.2626209081536344
1.0,0.2763819095477387,1.341173532347358,1.2826611574686357
1.0,0.2814070351758794,1.35839767883203,1.301686616086674
1.0,0.2864321608040201,1.3751764291479311,1.3200705439018756
1.0,0.2914572864321608,1.3917967655177563,1.3382366339508
1.0,0.2964824120603015,1.408158823505381,1.3565909168463421
1.0,0.30150753768844224,1.4238762515934913,1.3754757166381175
1.0,0.3065326633165829,1.438565876540683,1.3950914981263314
1.0,0.31155778894472363,1.4521175458398698,1.4153750886112477
1.0,0.3165829145728643,1.4647731866677942,1.435900204582235
1.0,0.32160804020100503,1.4769926212390918,1.455892009211281
1.0,0.32663316582914576,1.4892261649733396,1.4744026770970986
1.0,0.3316582914572864,1.501743774636141,1.490626308762739
1.0,0.33668341708542715,1.5145851853651378,1.504259724556265
1.0,0.3417085427135678,1.527597472184033,1.5157402458958347
1.0,0.34673366834170855,1.5405052577005378,1.5261768006113938
1.0,0.35175879396984927,1.5529958627839804,1.5369261362713975
1.0,0.35678391959798994,1.5648183820548478,1.5490065189915312
1.0,0.36180904522613067,1.5758662289076273,1.562685241295508
1.0,0.36683417085427134,1.5861883199931122,1.57746847686017
1.0,0.37185929648241206,1.5959045241532896,1.5924393856418466
1.0,0.3768844221105528,1.6050700987070536,1.6066778404484539
1.0,0.38190954773869346,1.6135795178844725,1.619522313491884
1.0,0.3869346733668342,1.621178873981591,1.6306333976640028
1.0,0.3919597989949749,1.6275819548710462,1.6399708601820921
1.0,0.3969849246231156,1.6326165761200506,1.6477735332214214
1.0,0.4020100502512563,1.636317500952249,1.6545169383309624
1.0,0.40703517587939697,1.6389297793395692,1.6607830760139017
1.0,0.4120603015075377,1.640839229615952,1.6670566194338874
1.0,0.4170854271356784,1.6424595949238494,1.6735595636130074
1.0,0.4221105527638191,1.644092937162239,1.6802378865136336
1.0,0.4271356783919598,1.6457906429043874,1.686906977827587
1.0,0.4321608040201005,1.647284122444674,1.6934374963409398
1.0,0.4371859296482412,1.64806638247152,1.6998338569767326
1.0,0.44221105527638194,1.6476331890149716,1.7061579384795715
1.0,0.4472361809045226,1.645771470939401,1.7123867519299114
1.0,0.45226130653266333,1.6427237835433892,1.7183316343163453
1.0,0.457286432160804,1.639131194010817,1.7236652583306227
1.0,0.4623115577889447,1.6358036647439216,1.7280069516580359
1.0,0.46733668341708545,1.633452055848634,1.7310050258369558
1.0,0.4723618090452261,1.6324802017883178,1.7324115347024334
1.0,0.47738693467336685,1.632860966460866,1.7321790872851581
1.0,0.4824120603015075,1.6341116129480877,1.7305681063109188
1.0,0.48743718592964824,1.635419589290344,1.7281825074149804
1.0,0.49246231155778897,1.6359357429106305,1.7258481284356022
1.0,0.49748743718592964,1.6351224014506567,1.7243452938868866
1.0,0.5025125628140703,1.6329504653646048,1.7241242178157818
1.0,0.507537688442211,1.6298148423227357,1.7251533364684752
1.0,0.5125628140703518,1.6262358673396995,1.7269537313856673
1.0,0.5175879396984925,1.6225531819950947,1.7287570236390244
1.0,0.5226130653266332,1.6187832914372364,1.7296974043884712
1.0,0.5276381909547738,1.6146678504940513,1.7290046909975456
1.0,0.5326633165829145,1.6098321949451617,1.7262036976186774
1.0,0.5376884422110553,1.603964785143922,1.7212859691398332
1.0,0.542713567839196,1.5969628055087162,1.7147591747526296
1.0,0.5477386934673367,1.5890002058617785,1.7074931590077318
1.0,0.5527638190954774,1.5804749418252844,1.7003883818583838
1.0,0.5577889447236181,1.571838849842807,1.6940150050785494
1.0,0.5628140703517588,1.563401162934045,1.6884111247900704
1.0,0.5678391959798995,1.5552344475518316,1.6831448460035077
1.0,0.5728643216080402,1.547233128943435,1.6775830762479187
1.0,0.577889447236181,1.5392435406945189,1.6711832615703979
1.0,0.5829145728643216,1.5311394082357856,1.6636354674538854
1.0,0.5879396984924623,1.5228040709901882,1.6548267816534818
1.0,0.592964824120603,1.5140932243887284,1.6447485597875253
1.0,0.5979899497487438,1.5048627247018274,1.6334776916815135
1.0,0.6030150753768845,1.4950595378016232,1.621231794375294
1.0,0.6080402010050251,1.4848000916983426,1.6083784244157295
1.0,0.6130653266331658,1.4743699674021746,1.5953177264634408
1.0,0.6180904522613065,1.4641391152717953,1.5823184368155894
1.0,0.6231155778894473,1.4544299732341606,1.5694738341142835
1.0,0.628140703517588,1.4453819042039404,1.5568347698693679
1.0,0.6331658291457286,1.4368509129443696,1.5445791386570493
1.0,0.6381909547738693,1.4283885746446605,1.5330124050437222
1.0,0.6432160804020101,1.4193417880426304,1.5223440415890162
1.0,0.6482412060301508,1.409074450418948,1.5124031089235384
1.0,0.6532663316582915,1.3972354844276744,1.5025319518198885
1.0,0.6582914572864321,1.3839389189945956,1.4917705808769461
1.0,0.6633165829145728,1.3697447233325493,1.4792409353412936
1.0,0.6683417085427136,1.3554360619056531,1.4645224413586304
1.0,0.6733668341708543,1.3417034183634569,1.4478356828191918
1.0,0.678391959798995,1.3288848933450297,1.429962236883444
1.0,0.6834170854271356,1.3168642095468932,1.411940510691819
1.0,0.6884422110552764,1.30514909780988,1.394654157101286
1.0,0.6934673366834171,1.2930890952112613,1.3784798843496018
1.0,0.6984924623115578,1.2801449187578207,1.3631685977048904
1.0,0.7035175879396985,1.2660909083733298,1.348040425063812
1.0,0.7085427135678392,1.251049758057215,1.3323831295628676
1.0,0.7135678391959799,1.2353468105364307,1.3157932242159789
1.0,0.7185929648241206,1.2192822264743457,1.298245218988639
1.0,0.7236180904522613,1.2029637591916182,1.2798915683573457
1.0,0.7286432160804021,1.1862833969724647,1.2607845559328419
1.0,0.7336683417085427,1.16901506420339,1.2407222829126092
1.0,0.7386934673366834,1.1509470479704056,1.219297330159756
1.0,0.7437185929648241,1.1319758203270842,1.1961000566386832
1.0,0.7487437185929648,1.1121409784344078,1.170960594486739
1.0,0.7537688442211056,1.091619593538822,1.144096595666226
1.0,0.7587939698492463,1.0706993186487095,1.1160727617243926
1.0,0.7638190954773869,1.049728968148096,1.087582047434282
1.0,0.7688442211055276,1.0290358476894816,1.0591720645323268
1.0,0.7738693467336684,1.0088213469989449,1.031068823622473
1.0,0.7788944723618091,0.9890847262655602,1.0031681206690524
1.0,0.7839195979899498,0.969633564816456,0.975153466941839
1.0,0.7889447236180904,0.9501883717473524,0.9466521899381191
1.0,0.7939698492462312,0.9305125930990851,0.91736595118454
1.0,0.7989949748743719,0.9104750979333214,0.8871494345383445
1.0,0.8040201005025126,0.8900149273844533,0.8560267941417342
1.0,0.8090452261306533,0.8690683063862087,0.8241486257505661
1.0,0.8140703517587939,0.8475413593806073,0.7917185419667637
1.0,0.8190954773869347,0.8253474197941467,0.7589328735861742
1.0,0.8241206030150754,0.8024519187402521,0.7259546752057933
1.0,0.8291457286432161,0.7788648896065175,0.6929072534826513
1.0,0.8341708542713568,0.7545877781133116,0.6598681912198981
1.0,0.8391959798994975,0.7295767652661178,0.6268733202422726
1.0,0.8442211055276382,0.7037670545970324,0.5939500433763101
1.0,0.8492462311557789,0.677135164309283,0.5611607863602855
1.0,0.8542713567839196,0.6497362667870662,0.5285981383900574
1.0,0.8592964824120604,0.6216838260921109,0.4963055874187558
1.0,0.864321608040201,0.593102583305824,0.4641892953930678
1.0,0.8693467336683417,0.5641101376876748,0.4320302203507368
1.0,0.8743718592964824,0.5348400784021572,0.39962821381608027
1.0,0.8793969849246231,0.5054630170986864,0.3669776575207454
1.0,0.8844221105527639,0.4761631795666445,0.33433080993507946
1.0,0.8894472361809045,0.4470890642040837,0.3021011740509389
1.0,0.8944723618090452,0.41833754548453295,0.2706944275799954
1.0,0.8994974874371859,0.38998947582401156,0.24039629902654946
1.0,0.9045226130653267,0.3621371049224803,0.2113724201287263
1.0,0.9095477386934674,0.33483620725472163,0.18373512766984523
1.0,0.914572864321608,0.3080057726613282,0.15760000843131758
1.0,0.9195979899497487,0.28138405267973526,0.13309909428151379
1.0,0.9246231155778895,0.25462202336897544,0.11037304876241404
1.0,0.9296482412060302,0.2274746344520582,0.08957261114191646
1.0,0.9346733668341709,0.1999638195509603,0.07086651664366383
1.0,0.9396984924623115,0.17241760330885506,0.05443048397194264
1.0,0.9447236180904522,0.14539028264035744,0.04040728732522971
1.0,0.949748743718593,0.11953647640010091,0.02885699067691935
1.0,0.9547738693467337,0.09550338333283517,0.01972382923099312
1.0,0.9597989949748744,0.07385911014935677,0.012830636783936207
1.0,0.964824120603015,0.05504399352687053,0.007896414677541172
1.0,0.9698492462311558,0.03933125545040212,0.004569658605997129
1.0,0.9748743718592965,0.026796424437693547,0.002471720183530721
1.0,0.9798994974874372,0.017304989553003903,0.0012424507534824969
1.0,0.9849246231155779,0.01052950006892935,0.000577258047712022
1.0,0.9899497487437187,0.006000753377654897,0.0002466419552736721
1.0,0.9949748743718593,0.003184904209691025,9.645143036275036e-05
1.0,1.0,0.001565943446204068,3.436946199645774e-05
1.5,0.0,7.399508979916795e-05,1.4027082670191178e-05
1.5,0.005025125628140704,0.00019101723779574835,3.907719840309452e-05
1.5,0.010050251256281407,0.00045510317676002236,0.0001012856187695161
1.5,0.01507537688442211,0.0010043001437745535,0.0002455443390038323
1.5,0.020100502512562814,0.002060688115316968,0.0005582093956064991
1.5,0.02512562814070352,0.003947736296010103,0.0011902766162193172
1.5,0.03015075376884422,0.007091779203344186,0.0023781575203241554
