alpha,rho,coef_x1_mis_mean,coef_x1_mis_std,coef_x1_correct_mean,coef_x1_correct_std
0.0,0.0,1.369848751123296,0.06375970926638794,1.3876477185539042,0.06636633818444995
0.0,0.060000000000000005,1.406271094366996,0.05710623538709155,1.398637944264943,0.05795771927550892
0.0,0.12000000000000001,1.42539781211484,0.05894933531250433,1.3943763613221396,0.060774742359497966
0.0,0.18000000000000002,1.4492583992787018,0.057965729271526344,1.3949838034361957,0.06149091586692162
0.0,0.24000000000000002,1.4743238727074004,0.05778702928789086,1.3954933411798338,0.06273653686365802
0.0,0.30000000000000004,1.4983063918774806,0.05950950091527605,1.3963707082248376,0.06592636305858439
0.0,0.36000000000000004,1.521583326889422,0.057066106459033886,1.3953158011985076,0.06522330056083998
0.0,0.42000000000000004,1.547297444707371,0.05780572562585592,1.3953686363197668,0.06731846554511667
0.0,0.48000000000000004,1.5720235713703954,0.05717025608051881,1.39439535075715,0.06721681386033156
0.0,0.54,1.5955911423184732,0.058759130379343515,1.3906976948946757,0.07447666695086864
0.0,0.6000000000000001,1.6193507637607392,0.05563389807368657,1.3883560602213367,0.07612240199599639
0.0,0.66,1.6449767629878516,0.053703217481762336,1.3838407870902558,0.0764804348629473
0.0,0.7200000000000001,1.6715996185787996,0.053564231587626,1.3819380873685723,0.08295728488695624
0.0,0.78,1.699295371814329,0.052845056996652366,1.3733213589667292,0.08962938715816368
0.0,0.8400000000000001,1.726142360901556,0.05527044016575396,1.3682874881555223,0.09565037837866576
0.0,0.9,1.7565815257566235,0.05833680900686041,1.3635549151355355,0.10609152293871164
1.0,0.0,1.2220750677273704,0.05680483206502002,1.3931080478733449,0.06640427054323751
1.0,0.060000000000000005,1.297954207861082,0.059244159570145304,1.3898211611646576,0.05723020524770348
1.0,0.12000000000000001,1.3705666577746103,0.05928664606792887,1.3885781167189626,0.05887908558195546
1.0,0.18000000000000002,1.4449820428895837,0.06152142265012619,1.3880296935751064,0.061481941828435756
1.0,0.24000000000000002,1.518460062191956,0.059162591229845025,1.3844841304288968,0.05980838167898725
1.0,0.30000000000000004,1.5976305314323596,0.06322887071784408,1.3847596603180907,0.06393643860969934
1.0,0.36000000000000004,1.680795330531764,0.06419809072812313,1.387350242178809,0.0645029369939053
1.0,0.42000000000000004,1.7631703737314381,0.05988372835793289,1.386389549540914,0.05857922175752666
1.0,0.48000000000000004,1.8486584010808025,0.06152191026234203,1.3853087134007125,0.060156569992444224
1.0,0.54,1.9411684381916645,0.06273067703198502,1.3880634920000317,0.06073454745278462
