alpha_dgp,gamma_linear_mean,gamma_linear_std,gamma_quad_mean,gamma_quad_std,coef_linear_mean,coef_linear_std
0.0,2.380078924213657,0.12421841999594338,2.3852221898885535,0.12556124416108874,0.7053598437462655,0.031628518536338815
0.1,2.3903298218754765,0.1194150131897465,2.39661912969966,0.11965660167511744,0.7051672321492852,0.03183005878413963
0.2,2.3761573404138323,0.1250133584010974,2.383624496322487,0.1255417566188728,0.7048416314833729,0.030984209172784393
0.30000000000000004,2.3701947737604665,0.12741498276209925,2.3819948868860563,0.12830247383676321,0.704108042860613,0.031735894739668195
0.4,2.3778887787575673,0.12489401488823652,2.3947908101261315,0.1264069077296103,0.7026330875146023,0.03231320698033556
0.5,2.3654918995449403,0.12305565101553713,2.384811261853609,0.12396204278024216,0.702011232075938,0.0322949961706185
0.6000000000000001,2.3693197769026986,0.12241175989637874,2.395667437413167,0.12843666228981074,0.701115372359505,0.032077090953200264
0.7000000000000001,2.3645117262449493,0.13377824471144795,2.396700509350306,0.13993288650443272,0.6992820683603698,0.031836827507464555
0.8,2.3693699840173825,0.13370330393409657,2.420246081173609,0.14228976309474528,0.6968647475908728,0.033432089386859556
0.9,2.3591688953770147,0.13122324822123627,2.4081290568466502,0.13571027907761316,0.6947201024934426,0.033974845702263015
1.0,2.3532860392169517,0.13349602069799862,2.4135273977379352,0.14227371873780312,0.6925570102599892,0.032733004536140274
1.1,2.355073597238561,0.13320524079734186,2.4301452733051416,0.14734003107795274,0.6893916107474952,0.03270231522402482
1.2000000000000002,2.346295655385342,0.14224033368326278,2.4329474507287308,0.1511819316554818,0.6865862645767801,0.032954774456127094
1.3,2.3294083891211326,0.13569371817330084,2.423267070659069,0.1524896438118691,0.6837579809840629,0.03182819474588639
1.4000000000000001,2.3185146966063646,0.12322552642690972,2.4334268420546867,0.14140035244297816,0.6807916339490139,0.031238631757447722
1.5,2.3023056317870867,0.12431574262543069,2.4297096160304084,0.1451417463780457,0.676189784122378,0.030780951776336916
1.6,2.28598831192662,0.11182712071540904,2.425018339435338,0.13767992940935656,0.6724616834638847,0.0298286301117442
1.7000000000000002,2.26263757930331,0.10104572353366204,2.4143930338168156,0.12749284054305784,0.668436457147112,0.02890966571971032
1.8,2.2560690192226938,0.11823913909936273,2.4297271250637897,0.14515091869205704,0.6636420798863327,0.029143680932572885
1.9000000000000001,2.253311536421749,0.11258407615760996,2.4411337737563223,0.13835174521515298,0.659986122724376,0.029572636025242797
2.0,2.2439041331854632,0.11140144485353683,2.4475482125392873,0.13474656176935967,0.6562707393982182,0.028725615471420874
2.1,2.2349194745552294,0.12276496509156394,2.45811886513534,0.15803705514039346,0.6520789944976961,0.029949765269908092
2.2,2.207810742515255,0.11497679932887747,2.4400854151400604,0.1403108902165821,0.6467558164828852,0.030019494495658702
2.3000000000000003,2.198159007215059,0.10605996765138902,2.4532399979300075,0.14516161359182722,0.6422523520327037,0.030113307491092773
2.4000000000000004,2.190620189459426,0.11181851109216087,2.4561001964396154,0.1480011928286952,0.6378254633209353,0.029960600945383487
2.5,2.169616403971968,0.10386669994900531,2.457044133910729,0.15969994505355425,0.6331750132092222,0.02920408846199416
2.6,2.1580270235096504,0.1177090657610723,2.4515224110931877,0.15312646112766198,0.6288756914344928,0.029947664726566604
2.7,2.1477079030091226,0.11387791182681589,2.4631392429295915,0.1549516667355913,0.6234683310211798,0.02879040471428405
2.8000000000000003,2.1310154157025156,0.10967241097650803,2.4622794674500685,0.14301601873441414,0.6165321143988476,0.027482393403967558
2.9000000000000004,2.1133019773660418,0.09830690326094936,2.4710269062679844,0.1507032779898198,0.6123066269042928,0.02689319452872635
3.0,2.1060194702475203,0.10782954866359444,2.4721937792378115,0.14443774608596485,0.6067029532777337,0.026300659452565676
